,P50,P90,P10
0,714.8290804646861,714.5926680440357,715.0592910801363
1,1986.7327300867662,1980.0121028483745,1992.9431192354461
2,1778.9708728639064,1756.1131989635373,1798.977262132627
3,1602.1795353232976,1557.5326853495053,1639.4409996066274
4,1450.494519281345,1381.4075694914304,1505.9099399791814
5,1319.376858403225,1225.1986048177266,1392.502042034212
6,1205.2689772866338,1086.65368165019,1294.985484290877
7,1105.3506169180944,963.7753578894936,1210.2376882677365
8,1017.3627604111199,854.7920613165844,1135.904121450246
9,939.4787361636526,758.1325483252643,1070.1757745646305
10,870.2085844742127,672.403250850135,1011.6397841501189
11,808.3272260841882,596.3681848940382,959.1766007046431
12,752.8198948251799,528.9311309904389,911.8876138415764
13,702.8402497434352,469.11982969134004,869.043203407282
14,604.489859237852,383.2743483780945,762.2792243748391
