,Well,Qi_50,b_50,Qi_90,Qi_10
0,5103119220000,601.0,0.0,601.0,601.0
1,5103119510000,350.0,0.0,350.0,350.0
2,5103118660000,2500.0,0.0,2110.0,3026.0
3,5103119140000,180.0,0.0,180.0,180.0
4,5103119130000,338.0,0.0,338.0,338.0
5,5103110110000,736.0,0.0,736.0,736.0
6,5103115010000,719.0,0.0,719.0,719.0
7,5103115020000,550.0,0.0,550.0,550.0
8,5103118700000,2480.0,0.0,2480.0,2480.0
9,5103118550000,567.0,0.0,567.0,567.0
10,5103118580000,1241.0,0.0,1241.0,1241.0
11,5103110100100,582.0,0.0,582.0,582.0
12,5103117420000,917.0,0.0,917.0,917.0
13,5103117200000,673.0,0.0,673.0,673.0
14,5103117430000,276.0,0.0,276.0,276.0
15,5103063180000,1198.0,0.0,1198.0,1198.0
16,5103117210000,1363.0,0.0,1363.0,1363.0
17,5103114290000,431.0,0.0,431.0,431.0
18,5103114080000,536.0,0.0,536.0,536.0
19,5103112070000,206.0,0.0,206.0,206.0
20,5103106990000,769.0,0.0,769.0,769.0
21,5103113970000,1091.0,0.0,1091.0,1091.0
22,5103112500000,687.0,0.0,687.0,687.0
23,5103114300000,1375.0,0.0,1375.0,1375.0
24,5103110170100,456.0,0.0,456.0,456.0
25,5103107000000,641.0,0.0,641.0,641.0
26,5103111560000,645.0,0.0,645.0,645.0
27,5103111590000,669.0,0.0,669.0,669.0
28,5103110120000,1157.0,0.0,1157.0,1157.0
29,5103104930000,94.0,0.0,94.0,94.0
30,5103109810000,1709.0,0.0,1709.0,1709.0
31,5103109610000,1359.0,0.0,1359.0,1359.0
32,5103107630000,195.0,0.0,195.0,195.0
33,5103107230000,1080.0,0.0,1080.0,1080.0
34,5103105530000,770.0,0.0,770.0,770.0
35,5103107090000,133.0,0.0,133.0,133.0
36,5103107080000,1129.0,0.0,1129.0,1129.0
37,5103058270000,307.0,0.0,307.0,307.0
38,5103105520000,1438.0,0.0,1438.0,1438.0
39,5103106800000,383.0,0.0,383.0,383.0
40,5103105490000,1249.0,0.0,1249.0,1249.0
41,5103106280000,578.0,0.0,578.0,578.0
42,5103106450000,226.0,0.0,226.0,226.0
43,5103105700000,43.0,0.0,43.0,43.0
44,5103105730000,1390.0,0.0,1390.0,1390.0
45,5103106130000,406.0,0.0,406.0,406.0
46,5103106290000,409.0,0.0,409.0,409.0
47,5103106120000,927.0,0.0,927.0,927.0
48,5103105460000,915.0,0.0,915.0,915.0
49,5103105750000,1098.0,0.0,1098.0,1098.0
50,5103105740000,1586.0,0.0,1586.0,1586.0
51,5103105480000,999.0,0.0,999.0,999.0
52,5103105950000,716.0,0.0,716.0,716.0
53,5103105720000,791.0,0.0,791.0,791.0
54,5103105340000,287.0,0.0,287.0,287.0
55,5103105310000,411.0,0.0,411.0,411.0
56,5103105330000,415.0,0.0,415.0,415.0
57,5103061270000,944.0,0.0,944.0,944.0
58,5103056340000,1804.0,0.0,1804.0,1804.0
59,5103104140000,11.0,0.0,11.0,11.0
60,5103104130000,624.0,0.0,624.0,624.0
61,5103103650000,686.0,0.0,686.0,686.0
62,5103103360000,662.0,0.0,662.0,662.0
63,5103103730000,298.0,0.0,298.0,298.0
64,5103103600000,627.0,0.0,627.0,627.0
65,5103103570000,684.0,0.0,684.0,684.0
66,5103103380000,551.0,0.0,551.0,551.0
67,5103063320000,750.0,0.0,750.0,750.0
68,5103010660000,1083.0,0.0,1083.0,1083.0
69,5103058170000,1376.0,0.0,1376.0,1376.0
70,5103010670000,661.0,0.0,661.0,661.0
71,5103010230000,969.0,0.0,969.0,969.0
72,5103663970000,672.0,0.0,672.0,672.0
73,5103600530000,,0.0,,
74,5103095020000,147.0,0.0,147.0,147.0
75,5103094640000,320.0,0.0,320.0,320.0
76,5103092970000,393.0,0.0,393.0,393.0
77,5103092950000,504.0,0.0,504.0,504.0
78,5103092880000,1090.0,0.0,1090.0,1090.0
79,5103092050000,133.0,0.0,133.0,133.0
80,5103092020000,971.0,0.0,971.0,971.0
81,5103091990000,934.0,0.0,934.0,934.0
82,5103091980000,222.0,0.0,222.0,222.0
83,5103091890000,539.0,0.0,539.0,539.0
84,5103091880000,553.0,0.0,553.0,553.0
85,5103091750000,1424.0,0.0,1424.0,1424.0
86,5103091740000,479.0,0.0,479.0,479.0
87,5103091730000,920.0,0.0,920.0,920.0
88,5103091660000,570.0,0.0,570.0,570.0
89,5103091650000,282.0,0.0,282.0,282.0
90,5103091630000,1296.0,0.0,1296.0,1296.0
91,5103091550000,552.0,0.0,552.0,552.0
92,5103091520000,45.0,0.0,45.0,45.0
93,5103091450000,152.0,0.0,152.0,152.0
94,5103091380000,495.0,0.0,495.0,495.0
95,5103091310000,1076.0,0.0,1076.0,1076.0
96,5103091300000,1049.0,0.0,1049.0,1049.0
97,5103091230000,470.0,0.0,470.0,470.0
98,5103091200000,512.0,0.0,512.0,512.0
99,5103091070000,59.0,0.0,59.0,59.0
100,5103091000000,297.0,0.0,297.0,297.0
101,5103090990000,453.0,0.0,453.0,453.0
102,5103088850000,496.0,0.0,496.0,496.0
103,5103088840000,1096.0,0.0,1096.0,1096.0
104,5103088830000,801.0,0.0,801.0,801.0
105,5103088550000,827.0,0.0,827.0,827.0
106,5103088540000,117.0,0.0,117.0,117.0
107,5103088530000,1030.0,0.0,1030.0,1030.0
108,5103088520000,320.0,0.0,320.0,320.0
109,5103088510000,345.0,0.0,345.0,345.0
110,5103088470000,1755.0,0.0,1755.0,1755.0
111,5103088190000,91.0,0.0,91.0,91.0
112,5103088150000,272.0,0.0,272.0,272.0
113,5103088140000,692.0,0.0,692.0,692.0
114,5103088100000,146.0,0.0,146.0,146.0
115,5103087930000,1008.0,0.0,1008.0,1008.0
116,5103087720000,841.0,0.0,841.0,841.0
117,5103087710000,325.0,0.0,325.0,325.0
118,5103087690000,181.0,0.0,181.0,181.0
119,5103087660000,270.0,0.0,270.0,270.0
120,5103087650000,920.0,0.0,920.0,920.0
121,5103087640000,580.0,0.0,580.0,580.0
122,5103087630000,128.0,0.0,128.0,128.0
123,5103087620000,726.0,0.0,726.0,726.0
124,5103087390000,467.0,0.0,467.0,467.0
125,5103087380000,319.0,0.0,319.0,319.0
126,5103087370000,136.0,0.0,136.0,136.0
127,5103086990000,7.0,0.0,7.0,7.0
128,5103086980000,609.0,0.0,609.0,609.0
129,5103086970000,553.0,0.0,553.0,553.0
130,5103086960000,1688.0,0.0,1688.0,1688.0
131,5103086940000,498.0,0.0,498.0,498.0
132,5103086890000,657.0,0.0,657.0,657.0
133,5103086860000,1174.0,0.0,1174.0,1174.0
134,5103086850000,26.0,0.0,26.0,26.0
135,5103086830000,1163.0,0.0,1163.0,1163.0
136,5103086720000,326.0,0.0,326.0,326.0
137,5103086670000,254.0,0.0,254.0,254.0
138,5103086660000,2.0,0.0,2.0,2.0
139,5103086640000,1065.0,0.0,1065.0,1065.0
140,5103086300000,241.0,0.0,241.0,241.0
141,5103085750000,564.0,0.0,564.0,564.0
142,5103085630000,664.0,0.0,664.0,664.0
143,5103085620000,235.0,0.0,235.0,235.0
144,5103085220000,853.0,0.0,853.0,853.0
145,5103084980000,385.0,0.0,385.0,385.0
146,5103084970000,361.0,0.0,361.0,361.0
147,5103084910000,761.0,0.0,761.0,761.0
148,5103084810000,679.0,0.0,679.0,679.0
149,5103084800000,724.0,0.0,724.0,724.0
150,5103084500000,598.0,0.0,598.0,598.0
151,5103084380000,441.0,0.0,441.0,441.0
152,5103084370000,762.0,0.0,762.0,762.0
153,5103083190000,531.0,0.0,531.0,531.0
154,5103083170000,1442.0,0.0,1442.0,1442.0
155,5103082980000,1505.0,0.0,1505.0,1505.0
156,5103082970000,1194.0,0.0,1194.0,1194.0
157,5103082930000,,0.0,,
158,5103082920000,1053.0,0.0,1053.0,1053.0
159,5103081700000,446.0,0.0,446.0,446.0
160,5103081690000,890.0,0.0,890.0,890.0
161,5103079750000,1059.0,0.0,1059.0,1059.0
162,5103079740000,936.0,0.0,936.0,936.0
163,5103079520000,132.0,0.0,132.0,132.0
164,5103079480000,480.0,0.0,480.0,480.0
165,5103079450000,948.0,0.0,948.0,948.0
166,5103079360000,748.0,0.0,748.0,748.0
167,5103079160000,1610.0,0.0,1610.0,1610.0
168,5103079130000,870.0,0.0,870.0,870.0
169,5103079100000,631.0,0.0,631.0,631.0
170,5103079060000,607.0,0.0,607.0,607.0
171,5103078980000,486.0,0.0,486.0,486.0
172,5103078860000,1257.0,0.0,1257.0,1257.0
173,5103078770000,301.0,0.0,301.0,301.0
174,5103078730000,1218.0,0.0,1218.0,1218.0
175,5103078700000,1207.0,0.0,1207.0,1207.0
176,5103078690000,1548.0,0.0,1548.0,1548.0
177,5103078680000,1268.0,0.0,1268.0,1268.0
178,5103078580000,338.0,0.0,338.0,338.0
179,5103078570000,1052.0,0.0,1052.0,1052.0
180,5103078560000,2309.0,0.0,2309.0,2309.0
181,5103078400000,1643.0,0.0,1643.0,1643.0
182,5103078110000,699.0,0.0,699.0,699.0
183,5103078030000,817.0,0.0,817.0,817.0
184,5103077980000,886.0,0.0,886.0,886.0
